Lang;Source;Metric;Value
C;binarytrees;NEXITS_AVG;1.3333333333333333
C;binarytrees;NOM__functions;3
C;binarytrees;NOM__closures;0
C;binarytrees;NOM__total;3
C;binarytrees;HALSTEAD__n1;23
C;binarytrees;HALSTEAD__n2;45
C;binarytrees;HALSTEAD__N1;204
C;binarytrees;HALSTEAD__N2;166
C;binarytrees;HALSTEAD__Vocabulary;68
C;binarytrees;HALSTEAD__Length;370
C;binarytrees;HALSTEAD__Volume;2252.3612512626255
C;binarytrees;HALSTEAD__Difficulty;42.422222222222224
C;binarytrees;HALSTEAD__Level;0.023572551073860658
C;binarytrees;HALSTEAD__Effort;95550.1695257856
C;binarytrees;HALSTEAD__Programming time;5308.342751432534
C;binarytrees;HALSTEAD__Bugs;0.6966795348870725
C;binarytrees;HALSTEAD__Estimated program length;351.17531432414665
C;binarytrees;HALSTEAD__Purity ratio;0.9491224711463423
C;binarytrees;MI__Original;48.15890345569035
C;binarytrees;MI__Sei;31.577285388498545
C;binarytrees;MI__Visual Studio;28.16310143607623
C;fannkuchredux;SLOC;174
C;fannkuchredux;PLOC;86
C;fannkuchredux;LLOC;41
C;fannkuchredux;CLOC;54
C;fannkuchredux;BLANK;34
C;fannkuchredux;CC;22.0
C;fannkuchredux;NARGS_SUM;2
C;fannkuchredux;NARGS_AVG;2
C;fannkuchredux;COGNITIVE_SUM;56
C;fannkuchredux;COGNITIVE_AVG;56
C;fannkuchredux;NEXITS;1
C;fannkuchredux;NEXITS_AVG;1
C;fannkuchredux;NOM__functions;1
C;fannkuchredux;NOM__closures;0
C;fannkuchredux;NOM__total;1
C;fannkuchredux;HALSTEAD__n1;30
C;fannkuchredux;HALSTEAD__n2;33
C;fannkuchredux;HALSTEAD__N1;285
C;fannkuchredux;HALSTEAD__N2;240
C;fannkuchredux;HALSTEAD__Vocabulary;63
C;fannkuchredux;HALSTEAD__Length;525
C;fannkuchredux;HALSTEAD__Volume;3138.0719598374562
C;fannkuchredux;HALSTEAD__Difficulty;109.0909090909091
C;fannkuchredux;HALSTEAD__Level;0.009166666666666667
C;fannkuchredux;HALSTEAD__Effort;342335.12289135886
C;fannkuchredux;HALSTEAD__Programming time;19018.617938408825
C;fannkuchredux;HALSTEAD__Bugs;1.6312219298557251
C;fannkuchredux;HALSTEAD__Estimated program length;313.6717238070845
C;fannkuchredux;HALSTEAD__Purity ratio;0.5974699501087324
C;fannkuchredux;MI__Original;40.49621205585848
C;fannkuchredux;MI__Sei;22.95379571466426
C;fannkuchredux;MI__Visual Studio;23.681995354303204
C;fasta;SLOC;344
C;fasta;PLOC;255
C;fasta;LLOC;90
C;fasta;CLOC;49
C;fasta;BLANK;40
C;fasta;CC;35.0
C;fasta;NARGS_SUM;15
C;fasta;NARGS_AVG;1.875
C;fasta;COGNITIVE_SUM;42
C;fasta;COGNITIVE_AVG;5.25
C;fasta;NEXITS;4
C;fasta;NEXITS_AVG;0.5
